,Id,Code,Name,Class,Standard Concept Caption,Valid Start Date,Valid End Date,RC,DRC,PC,DPC,Domain,Vocabulary
,45604872,W21.00XS,"Struck by hit or thrown ball, unspecified type, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604871,W16.721S,"Jumping or diving from boat striking bottom causing drowning and submersion, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604869,W16.41XS,"Fall into unspecified water causing drowning and submersion, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604866,W16.011S,"Fall into swimming pool striking water surface causing drowning and submersion, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604859,W00.2XXA,"Other fall from one level to another due to ice and snow, initial encounter",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Observation,ICD10CM
,45604858,W00.0XXA,"Fall on same level due to ice and snow, initial encounter",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Observation,ICD10CM
,45604856,V97.32XS,"Injured by rotating propeller, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604855,V97.22XS,"Parachutist injured on landing, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604854,V96.12XS,"Forced landing of hang-glider injuring occupant, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604853,V96.11XS,"Hang-glider crash injuring occupant, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604851,V95.33XS,"Commercial fixed-wing aircraft collision injuring occupant, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604847,V95.10XS,"Unspecified ultralight, microlight or powered-glider accident injuring occupant, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604845,V94.810S,"Civilian watercraft involved in water transport accident with military watercraft, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604842,V94.22XS,"Rider of nonpowered watercraft struck by powered watercraft, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604838,V93.86XS,"Other injury due to other accident on board (nonpowered) inflatable craft, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604837,V93.85XS,"Other injury due to other accident on board canoe or kayak, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604836,V93.84XS,"Other injury due to other accident on board sailboat, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604834,V93.49XS,"Struck by falling object on unspecified watercraft, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604833,V93.38XD,"Fall on board other unpowered watercraft, subsequent encounter",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Observation,ICD10CM
,45604829,V93.09XS,"Burn due to localized fire on board unspecified watercraft, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604822,V91.83XS,"Other injury due to other accident to other powered watercraft, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604820,V91.80XS,"Other injury due to other accident to merchant ship, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604817,V91.37XS,"Hit or struck by falling object due to accident to water-skis, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604816,V91.34XS,"Hit or struck by falling object due to accident to sailboat, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604814,V91.29XA,"Fall due to collision between unspecified watercraft and other watercraft or other object, initial encounter",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Observation,ICD10CM
,45604813,V91.23XS,"Fall due to collision between other powered watercraft and other watercraft or other object, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604811,V91.14XS,"Crushed between sailboat and other watercraft or other object due to collision, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604809,V91.05XS,"Burn due to canoe or kayak on fire, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604803,V90.26XS,"Drowning and submersion due to falling or jumping from burning (nonpowered) inflatable craft, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604801,V90.19XS,"Drowning and submersion due to unspecified watercraft sinking, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604799,V90.08XS,"Drowning and submersion due to other unpowered watercraft overturning, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604796,V88.9XXS,"Person injured in other specified (collision)(noncollision) transport accidents involving nonmotor vehicle, nontraffic, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604780,V84.4XXA,"Person injured while boarding or alighting from special agricultural vehicle, initial encounter",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604778,V83.1XXS,"Passenger of special industrial vehicle injured in traffic accident, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604777,V82.8XXS,"Occupant of streetcar injured in other specified transport accidents, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604776,V82.6XXD,"Occupant of streetcar injured by fall from streetcar, subsequent encounter",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604775,V81.81XA,"Occupant of railway train or railway vehicle injured due to explosion or fire on train, initial encounter",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604774,V80.919S,"Animal-rider injured in unspecified transport accident, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604773,V80.61XS,"Animal-rider injured in collision with railway train or railway vehicle, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604772,V80.010S,"Animal-rider injured by fall from or being thrown from horse in noncollision accident, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604636,V16.3XXS,"Person boarding or alighting a pedal cycle injured in collision with other nonmotor vehicle in nontraffic accident, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604633,V14.3XXD,"Person boarding or alighting a pedal cycle injured in collision with heavy transport vehicle or bus, subsequent encounter",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604622,V05.00XS,"Pedestrian on foot injured in collision with railway train or railway vehicle in nontraffic accident, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604607,V00.828S,"Other accident with baby stroller, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604606,V00.828A,"Other accident with baby stroller, initial encounter",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Observation,ICD10CM
,45604604,V00.322S,"Snow-skier colliding with stationary object, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604603,V00.318S,"Other snowboard accident, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604602,V00.288D,"Other accident on other gliding-type pedestrian conveyance, subsequent encounter",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Observation,ICD10CM
,45604499,T71.231S,"Asphyxiation due to being trapped in a (discarded) refrigerator, accidental, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45604498,T71.191S,"Asphyxiation due to mechanical threat to breathing due to other causes, accidental, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45600228,Y24.9XXS,"Unspecified firearm discharge, undetermined intent, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45600178,W88.8XXS,"Exposure to other ionizing radiation, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45600176,W86.8XXS,"Exposure to other electric current, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45600175,W67.XXXS,"Accidental drowning and submersion while in swimming-pool, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45600147,W50.1XXS,"Accidental kick by another person, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45600139,W31.82XS,"Contact with other commercial machinery, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45600137,W30.89XS,"Contact with other specified agricultural machinery, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45600128,W27.2XXS,"Contact with scissors, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45600126,W24.0XXS,"Contact with lifting devices, not elsewhere classified, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45600125,W21.39XS,"Struck by other sports foot wear, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45600116,W17.0XXS,"Fall into well, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45600114,W16.612S,"Jumping or diving into natural body of water striking water surface causing other injury, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45600113,W16.311S,"Fall into other water striking water surface causing drowning and submersion, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45600111,W16.122S,"Fall into natural body of water striking bottom causing other injury, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45600108,W10.0XXS,"Fall (on)(from) escalator, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45600107,W09.2XXS,"Fall on or from jungle gym, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45600105,W01.118S,"Fall on same level from slipping, tripping and stumbling with subsequent striking against other sharp object, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45600103,V97.810S,"Civilian aircraft involved in air transport accident with military aircraft, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45600097,V96.9XXS,"Unspecified nonpowered-aircraft accident injuring occupant, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45600090,V95.41XS,"Spacecraft crash injuring occupant, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45600089,V95.29XS,"Other accident to other private fixed-wing aircraft injuring occupant, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45600087,V95.05XS,"Helicopter explosion injuring occupant, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45600083,V93.88XS,"Other injury due to other accident on board other unpowered watercraft, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45600082,V93.64XS,"Machinery accident on board sailboat, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45600081,V93.62XS,"Machinery accident on board fishing boat, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45600078,V93.39XS,"Fall on board unspecified watercraft, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
